Municipios,Distancia_linha_reta_da_capital_km,Distancia_de_conducao_da_capital_km,Tempo_conducao
Agua Branca,"248,29",295,4 horas 23 min
Anadia,"65,87","90,2",1 hora 25 min
Arapiraca,"105,45",136,2 horas 7 min
Atalaia,"36,31","47,6",50 min
Barra de Santo Antonio,"35,1","38,8",38 min
Barra de Sao Miguel,"27,41","37,5",38 min
Batalha,"156,34",190,2 horas 49 min
Belem,"86,63",118,1 hora 57 min
Belo Monte,"173,16",217,3 horas 16 min
Boca da Mata,"55,3","76,4",1 hora 13 min
Branquinha,"57,31","68,3",1 hora 4 min
Cacimbinhas,"143,48",177,2 horas 37 min
Cajueiro,"56,45","68,4",1 hora 9 min
Campestre,"90,62",118,1 hora 47 min
Campo Alegre,"71,97","96,7",1 hora 30 min
Campo Grande,"120,55",174,2 horas 40 min
Canapi,"216,41",256,3 horas 44 min
Capela,"48,76","58,7",59 min
Carneiros,"184,09",231,3 horas 24 min
Cha Preta,"78,2",101,1 hora 37 min
Coite do Noia,"96,54",126,2 horas 3 min
Colonia Leopoldina,"81,95",116,1 hora 43 min
Coqueiro Seco,"10,05","32,9",34 min
Coruripe,"73,57","92,8",1 hora 26 min
Craibas,"116,51",153,2 horas 20 min
Delmiro Gouveia,"253,13",298,4 horas 21 min
Dois Riachos,"155,2",190,2 horas 48 min
Estrela de Alagoas,"119,43",152,2 horas 17 min
Feira Grande,"109,73",150,2 horas 15 min
Feliz Deserto,"96,87",122,1 hora 49 min
Flexeiras,"41,79","62,4",58 min
Girau do Ponciano,"125,88",162,2 horas 26 min
Ibateguara,"78,83",118,1 hora 48 min
Igaci,"102,64",134,2 horas 9 min
Igreja Nova,"116,89",164,2 horas 25 min
Inhapi,"228,9",273,3 horas 58 min
Jacare dos Homens,"164,52",199,2 horas 57 min
Jacuipe,"94,24",125,1 hora 51 min
Japaratinga,"79,4",117,1 hora 46 min
Jaramataia,"142,23",176,2 horas 39 min
Jequia da Praia,"53,13","68,8",1 hora 4 min
Joaquim Gomes,"57,67",75,1 hora 10 min
Jundia,"80,74",115,1 hora 43 min
Junqueiro,"89,38",121,1 hora 53 min
Lagoa da Canoa,"115,12",150,2 horas 16 min
Limoeiro de Anadia,"88,75",115,1 hora 46 min
Maceio,0,0,0 min
Major Izidoro,"140,93",192,2 horas 50 min
Mar Vermelho,"77,91",106,1 hora 45 min
Maragogi,"89,12",127,1 hora 54 min
Maravilha,"186,44",231,3 horas 24 min
Marechal Deodoro,"21,71","35,7",39 min
Maribondo,"65,96","88,5",1 hora 22 min
Mata Grande,"229,99",287,4 horas 11 min
Matriz do Camaragibe,"58,71",76,1 hora 11 min
Messias,"31,86","35,4",36 min
Minador do Negrao,"132,88",169,2 horas 36 min
Monteiropolis,"169,3",206,3 horas 5 min
Murici,46,"54,7",53 min
Novo Lino,"78,91",100,1 hora 29 min
Olho dagua das Flores,"174,56",213,3 horas 10 min
Olho dagua do Casado,"233,43",275,4 horas 2 min
Olho dagua Grande,"129,05",176,2 horas 41 min
Olivenca,"163,84",210,3 horas 6 min
Ouro Branco,"189,14",238,3 horas 31 min
Palestina,"178,95",216,3 horas 24 min
Palmeira dos indios,"105,03",137,2 horas 4 min
Pao de Acucar,"190,29",243,3 horas 44 min
Pariconha,"255,25",301,4 horas 27 min
Paripueira,"26,94","29,4",31 min
Passo de Camaragibe,"51,28","72,3",1 hora 6 min
Paulo Jacinto,"78,81",102,1 hora 38 min
Penedo,"119,21",152,2 horas 19 min
Piacabucu,"113,95",141,2 horas 7 min
Pilar,"27,49","37,7",40 min
Pindoba,"66,46","88,6",1 hora 37 min
Piranhas,"225,33",278,4 horas 3 min
Poco das Trincheiras,"177,27",218,3 horas 11 min
Porto Calvo,"74,72","98,7",1 hora 29 min
Porto de Pedras,"70,24",109,1 hora 41 min
Porto Real do Colegio,"137,4",176,2 horas 36 min
Quebrangulo,"91,21",118,1 hora 53 min
Rio Largo,"23,9","29,8",35 min
Roteiro,"36,08","57,9",1 hora 1 min
Santa Luzia do Norte,"13,57","26,5",29 min
Santana do Ipanema,"171,85",207,3 horas 3 min
Santana do Mundau,"77,18",105,1 hora 38 min
Sao Bras,"140,44",187,2 horas 48 min
Sao Jose da Laje,"80,26","99,1",1 hora 31 min
Sao Jose da Tapera,"184,08",223,3 horas 18 min
Sao Luis do Quitunde,"40,3",53,50 min
Sao Miguel dos Campos,"45,15","63,6",1 hora 3 min
Sao Miguel dos Milagres,"56,16","93,6",1 hora 25 min
Sao Sebastiao,"97,75",131,1 hora 58 min
Satuba,"15,47","21,2",23 min
Senador Rui Palmeira,"193,03",239,3 horas 32 min
Tanque dArca,"80,48",108,1 hora 41 min
Taquarana,"86,07",114,1 hora 45 min
Teotonio Vilela,"76,98",104,1 hora 37 min
Traipu,"146,45",190,2 horas 49 min
Uniao dos Palmares,"64,53","78,7",1 hora 14 min
Vicosa,"66,54","83,1",1 hora 21 min
